country,iso3,who_region,month_start,month_lab,cases,deaths
Andorra,AND,EURO,2023-05-01,May 2023,0,0
Andorra,AND,EURO,2023-06-01,Jun 2023,0,0
Andorra,AND,EURO,2023-07-01,Jul 2023,0,0
Andorra,AND,EURO,2023-08-01,Aug 2023,0,0
Andorra,AND,EURO,2023-09-01,Sep 2023,0,0
Andorra,AND,EURO,2023-10-01,Oct 2023,0,0
Argentina,ARG,AMRO,2023-05-01,May 2023,1,0
Argentina,ARG,AMRO,2023-06-01,Jun 2023,0,0
Argentina,ARG,AMRO,2023-07-01,Jul 2023,0,0
Argentina,ARG,AMRO,2023-08-01,Aug 2023,1,0
Argentina,ARG,AMRO,2023-09-01,Sep 2023,0,0
Argentina,ARG,AMRO,2023-10-01,Oct 2023,5,0
Aruba,ABW,AMRO,2023-05-01,May 2023,0,0
Aruba,ABW,AMRO,2023-06-01,Jun 2023,0,0
Aruba,ABW,AMRO,2023-07-01,Jul 2023,0,0
Aruba,ABW,AMRO,2023-08-01,Aug 2023,0,0
Aruba,ABW,AMRO,2023-09-01,Sep 2023,0,0
Aruba,ABW,AMRO,2023-10-01,Oct 2023,0,0
Australia,AUS,WPRO,2023-05-01,May 2023,1,0
Australia,AUS,WPRO,2023-08-01,Aug 2023,10,0
Australia,AUS,WPRO,2023-09-01,Sep 2023,1,0
Austria,AUT,EURO,2023-05-01,May 2023,0,0
Austria,AUT,EURO,2023-06-01,Jun 2023,0,0
Austria,AUT,EURO,2023-07-01,Jul 2023,0,0
Austria,AUT,EURO,2023-08-01,Aug 2023,0,0
Austria,AUT,EURO,2023-09-01,Sep 2023,2,0
Austria,AUT,EURO,2023-10-01,Oct 2023,1,0
Bahamas,BHS,AMRO,2023-05-01,May 2023,0,0
Bahamas,BHS,AMRO,2023-06-01,Jun 2023,1,0
Bahamas,BHS,AMRO,2023-07-01,Jul 2023,0,0
Bahamas,BHS,AMRO,2023-08-01,Aug 2023,0,0
Bahamas,BHS,AMRO,2023-09-01,Sep 2023,0,0
Bahamas,BHS,AMRO,2023-10-01,Oct 2023,0,0
Barbados,BRB,AMRO,2023-05-01,May 2023,0,0
Barbados,BRB,AMRO,2023-06-01,Jun 2023,0,0
Barbados,BRB,AMRO,2023-07-01,Jul 2023,0,0
Barbados,BRB,AMRO,2023-08-01,Aug 2023,0,0
Barbados,BRB,AMRO,2023-09-01,Sep 2023,0,0
Barbados,BRB,AMRO,2023-10-01,Oct 2023,0,0
Belgium,BEL,EURO,2023-05-01,May 2023,0,0
Belgium,BEL,EURO,2023-06-01,Jun 2023,2,0
Belgium,BEL,EURO,2023-07-01,Jul 2023,0,0
Belgium,BEL,EURO,2023-08-01,Aug 2023,0,0
Belgium,BEL,EURO,2023-09-01,Sep 2023,0,0
Belgium,BEL,EURO,2023-10-01,Oct 2023,0,0
Benin,BEN,AFRO,2023-05-01,May 2023,0,0
Benin,BEN,AFRO,2023-06-01,Jun 2023,0,0
Benin,BEN,AFRO,2023-07-01,Jul 2023,0,0
Benin,BEN,AFRO,2023-08-01,Aug 2023,0,0
Benin,BEN,AFRO,2023-09-01,Sep 2023,0,0
Benin,BEN,AFRO,2023-10-01,Oct 2023,0,0
Bermuda,BMU,AMRO,2023-05-01,May 2023,0,0
Bermuda,BMU,AMRO,2023-06-01,Jun 2023,0,0
Bermuda,BMU,AMRO,2023-07-01,Jul 2023,0,0
Bermuda,BMU,AMRO,2023-08-01,Aug 2023,0,0
Bermuda,BMU,AMRO,2023-09-01,Sep 2023,0,0
